date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts
2021-11-10,KZT,level,"level(pct=0.2,rearm=3,stall_days=3,window=120)",BUY_NOW,down,0.75,medium,1,0.164867,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}","{""pct_rank"": 0.05, ""window"": 120.0, ""days_since_min"": 9.0}"
2021-11-11,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,1,0.165669,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 2.3633911600716484, ""min_rate"": 69.5526, ""days_since_min"": 10.0, ""window"": 60.0}"
2021-11-16,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,1,0.168283,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 4.317164275670504, ""min_rate"": 69.5526, ""days_since_min"": 13.0, ""window"": 60.0}"
2021-11-19,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,1,0.168391,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 4.613918099395287, ""min_rate"": 69.5526, ""days_since_min"": 16.0, ""window"": 60.0}"
2021-11-24,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,1,0.17188,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 6.930006930006938, ""min_rate"": 69.5526, ""days_since_min"": 19.0, ""window"": 60.0}"
2021-11-30,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,1,0.170443,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -0.9190697379056978}"
2021-12-06,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,1,0.168214,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -0.5323795597573455}"
2021-12-09,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,1,0.16902,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -0.7284876294680664}"
2021-12-22,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,1,0.169146,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -0.6791870752557161}"
2022-01-12,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,2,0.171367,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -0.8036575870307483}"
2022-01-31,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,2,0.178379,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -1.8706220629029602}"
2022-02-07,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,2,0.175695,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -1.2648385325002787}"
2022-02-10,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,1.0,fast,2,0.175018,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 5.0, ""drop_pct"": -2.512716878386312}"
