currency,step,period,n,mae_model_bps,mae_naive_bps,mae_ratio,dir_accuracy,dir_majority,share_forecast_up,share_realized_up,coverage_10_90,mean_forecast_bps,mean_realized_bps
TJS,20,все,2116,393.0709108334504,389.2434650541468,1.009833037990172,0.4673913043478261,0.527882797731569,0.4914933837429111,0.527882797731569,0.7948960302457467,-15.574993714555761,54.71738625194945
TJS,20,до среза,1457,423.9065449849697,419.09031045030366,1.0114921161729822,0.46190803019903914,0.5223061084420041,0.48798901853122856,0.5223061084420041,0.787920384351407,-20.132090322580645,62.86997104412413
TJS,20,после среза,659,324.89561651059216,323.2543091479244,1.0050774492906038,0.4795144157814871,0.5402124430955993,0.4992412746585736,0.5402124430955993,0.8103186646433991,-5.499591957511382,36.692627462573874
USD,1,все,2135,68.1709550862114,68.73678578051346,0.9917681531384254,0.5572769953051643,0.5035128805620609,0.43934426229508194,0.5035128805620609,0.7939110070257611,-3.8703258079625282,2.65875464090405
USD,1,до среза,1457,71.2137824790901,71.62474429779945,0.9942622926931415,0.5544077134986226,0.5085792724776939,0.45024021962937544,0.5085792724776939,0.7968428277282087,-4.364764378860673,3.926527985550404
USD,1,после среза,678,61.63201775372723,62.53065663643427,0.9856288270258874,0.5634218289085545,0.5073746312684366,0.415929203539823,0.49262536873156343,0.7876106194690266,-2.8077933628318585,-0.06564913955278864
USD,5,все,2131,186.55427817058413,186.54221753850248,1.000064653633053,0.5358986391365556,0.5068043172219615,0.48662599718442046,0.5068043172219615,0.7869544814641014,-10.206510886907553,14.455401636365298
USD,5,до среза,1457,196.7213344761765,197.3908002062836,0.996608424863735,0.5277968428277282,0.5099519560741249,0.5209334248455731,0.5099519560741249,0.7741935483870968,-11.84804275909403,22.013465478768328
USD,5,после среза,674,164.57593835270856,163.09060782491636,1.0091073946415525,0.5534124629080118,0.5,0.4124629080118694,0.5,0.814540059347181,-6.657976854599407,-1.8830242069302774
USD,10,все,2126,274.51633078916433,274.47871353935955,1.0001370497891064,0.5051740357478833,0.5089369708372531,0.5032925682031985,0.5089369708372531,0.7902163687676388,-15.059096095954846,29.748523350004785
USD,10,до среза,1457,294.9274805661158,295.15734576437995,0.9992212113248651,0.48798901853122856,0.5250514756348662,0.5497597803706246,0.5250514756348662,0.7755662319835278,-17.141295401509954,46.015526826606255
USD,10,после среза,669,230.06334839003392,229.4431871539263,1.002702896711819,0.5426008968609866,0.5261584454409567,0.4020926756352765,0.47384155455904337,0.8221225710014948,-10.524321225710015,-5.679016359125779
USD,20,все,2116,397.5997884625317,400.23351728310104,0.9934195195883447,0.46361058601134214,0.5217391304347826,0.5137051039697542,0.5217391304347826,0.7920604914933838,-20.363510396975425,59.27180411855647
USD,20,до среза,1457,421.29406557240833,426.21576052607855,0.9884525740024362,0.44406314344543585,0.5483870967741935,0.5676046671242279,0.5483870967741935,0.7824296499656829,-21.464091969800958,92.43395328462252
USD,20,после среза,659,345.2135035625464,342.78870938474233,1.0070737282513074,0.5068285280728376,0.5371775417298937,0.3945371775417299,0.4628224582701062,0.8133535660091047,-17.93020637329287,-14.047241913246589
UZS,1,все,2135,72.90938450765005,72.58959292808174,1.0044054742101274,0.5447726207219878,0.5049180327868853,0.49133489461358315,0.5049180327868853,0.7925058548009367,-2.2355361124121784,0.9510673137961958
UZS,1,до среза,1457,75.67129899548017,74.54341382966531,1.0151305810650437,0.5394646533973919,0.5010295126973233,0.4776938915579959,0.49897048730267674,0.7947838023335622,-3.5172353466026087,1.139790787074381
UZS,1,после среза,678,66.97411989294723,68.39089520889695,0.9792841530788237,0.5562130177514792,0.5176991150442478,0.5206489675516224,0.5176991150442478,0.7876106194690266,0.5187939528023605,0.5455066934918932
UZS,5,все,2131,193.6847069231894,191.7967317300026,1.0098436254682617,0.5143125293289535,0.5039887376818395,0.45612388549976535,0.4960112623181605,0.7996245893946504,-9.315651102768651,5.855062674183632
UZS,5,до среза,1457,203.16092314754303,202.04860674431205,1.005505192147346,0.5277968428277282,0.5133836650652025,0.43719972546328073,0.48661633493479756,0.7927247769389156,-14.16124282772821,8.02424713954195
UZS,5,после среза,674,173.19977066371865,169.6350375225117,1.0210141324178614,0.48516320474777447,0.516320474777448,0.4970326409495549,0.516320474777448,0.814540059347181,1.159166617210682,1.1658909144995504
UZS,10,все,2126,282.81744898093194,282.2023442267744,1.002179658556143,0.5145813734713076,0.5061147695202258,0.44590780809031044,0.49388523047977423,0.8019755409219191,-17.438353904045155,12.518404909910018
UZS,10,до среза,1457,303.94053368960425,304.3990225936764,0.9984937898283459,0.5250514756348662,0.5078929306794784,0.42759094028826355,0.4921070693205216,0.789293067947838,-27.1866857240906,17.972532576701923
UZS,10,после среза,669,236.8139595630911,233.86069941275917,1.0126282875136685,0.49177877428998507,0.5022421524663677,0.4857997010463378,0.4977578475336323,0.8295964125560538,3.7923179372197295,0.6399833695276519
UZS,20,все,2116,406.6844975857082,404.9178963410174,1.0043628628436887,0.5189035916824196,0.5141776937618148,0.44045368620037806,0.48582230623818523,0.8090737240075614,-30.647406474480146,23.630090487884033
UZS,20,до среза,1457,429.602903053053,431.6664566495168,0.9952195646321917,0.5291695264241593,0.5065202470830473,0.4303363074811256,0.4934797529169526,0.8071379547014413,-47.86032004118051,35.17908115694324
UZS,20,после среза,659,356.01360719736016,345.77881839035945,1.0295992358775614,0.496206373292868,0.5311077389984825,0.4628224582701062,0.46889226100151743,0.8133535660091047,7.409065553869502,-1.9038691552407745
