announce_date,from_date,to_date,direction,rub_per_day_bln,source_url,verified,note
2023-11-03,2023-11-08,2023-12-06,buy,29.60,https://minfin.gov.ru/ru/press-center/?id_4=38741-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2023-12-05,2023-12-07,2024-01-12,buy,11.70,https://minfin.gov.ru/ru/press-center/?id_4=38784-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-01-11,2024-01-15,2024-02-06,sell,4.10,https://minfin.gov.ru/ru/press-center/?id_4=38817-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-02-05,2024-02-07,2024-03-06,buy,3.70,https://minfin.gov.ru/ru/press-center/?id_4=38841-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-03-05,2024-03-07,2024-04-04,buy,4.70,https://minfin.gov.ru/ru/press-center/?id_4=38892-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-04-03,2024-04-05,2024-05-07,buy,11.20,https://minfin.gov.ru/ru/press-center/?id_4=38936-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-05-06,2024-05-08,2024-06-06,buy,5.55,https://minfin.gov.ru/ru/press-center/?id_4=38992-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-06-05,2024-06-07,2024-07-04,buy,3.70,https://minfin.gov.ru/ru/press-center/?id_4=39061-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-07-03,2024-07-05,2024-08-06,buy,5.40,https://minfin.gov.ru/ru/press-center/?id_4=39138-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-08-05,2024-08-07,2024-09-05,buy,1.12,https://minfin.gov.ru/ru/press-center/?id_4=39207-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-09-04,2024-09-06,2024-10-04,buy,8.20,https://minfin.gov.ru/ru/press-center/?id_4=39252-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-10-03,2024-10-07,2024-11-06,buy,3.10,https://minfin.gov.ru/ru/press-center/?id_4=39320-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-11-05,2024-11-07,2024-12-05,buy,4.20,https://minfin.gov.ru/ru/press-center/?id_4=39422-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2024-12-04,2024-12-06,2025-01-14,buy,5.40,https://minfin.gov.ru/ru/press-center/?id_4=39494-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-01-13,2025-01-15,2025-02-06,buy,4.10,https://minfin.gov.ru/ru/press-center/?id_4=39562-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-02-05,2025-02-07,2025-03-06,buy,3.30,https://minfin.gov.ru/ru/press-center/?id_4=39586-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-03-05,2025-03-07,2025-04-04,buy,2.90,https://minfin.gov.ru/ru/press-center/?id_4=39624-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-04-03,2025-04-07,2025-05-12,sell,1.60,https://minfin.gov.ru/ru/press-center/?id_4=39665-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-05-07,2025-05-13,2025-06-05,buy,2.30,https://minfin.gov.ru/ru/press-center/?id_4=39698-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-06-04,2025-06-06,2025-07-04,buy,1.50,https://minfin.gov.ru/ru/press-center/?id_4=39743-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-07-03,2025-07-07,2025-08-06,sell,0.82,https://minfin.gov.ru/ru/press-center/?id_4=39795-informatsionnoe_soobshchenie_o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-08-05,2025-08-07,2025-09-04,sell,0.30,https://minfin.gov.ru/ru/press-center/?id_4=39848-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-09-03,2025-09-05,2025-10-06,sell,1.40,https://minfin.gov.ru/ru/press-center/?id_4=39876-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-10-03,2025-10-07,2025-11-07,sell,0.60,https://minfin.gov.ru/ru/press-center/?id_4=39955-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-11-06,2025-11-10,2025-12-04,sell,0.10,https://minfin.gov.ru/ru/press-center/?id_4=40030-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2025-12-03,2025-12-05,2026-01-15,sell,5.60,https://minfin.gov.ru/ru/press-center/?id_4=40101-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2026-01-15,2026-01-16,2026-02-05,sell,12.80,https://minfin.gov.ru/ru/press-center/?id_4=40162-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2026-02-04,2026-02-06,2026-03-05,sell,11.90,https://minfin.gov.ru/ru/press-center/?id_4=40180-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2026-03-04,,,none,,https://minfin.gov.ru/ru/press-center/?id_4=40211-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции марта 2026 не проводятся
2026-03-30,,2026-06-30,none,,https://minfin.gov.ru/ru/press-center/?id_4=40260-o_priostanovke_provedeniya_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции приостановлены до 01.07.2026; возобновлены с мая 2026 (объявление 23.04.2026)
2026-05-06,2026-05-08,2026-06-04,buy,5.80,https://minfin.gov.ru/ru/press-center/?id_4=40342-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2026-06-03,2026-06-05,2026-07-06,buy,9.90,https://minfin.gov.ru/ru/press-center/?id_4=40396-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2026-07-03,2026-07-07,2026-08-06,buy,5.40,https://minfin.gov.ru/ru/press-center/?id_4=40483-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2026-08-05,2026-08-07,2026-09-04,buy,6.50,https://minfin.gov.ru/ru/press-center/?id_4=40526-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2026-09-03,2026-09-07,2026-10-06,buy,2.50,https://minfin.gov.ru/ru/press-center/?id_4=40569-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
