country,date,name,kind,movable,source,verified
AM,2019-04-24,День памяти жертв геноцида армян,other,no,https://www.arlis.am/hy/acts/228539,primary
AM,2019-05-01,День труда,labour,no,https://www.arlis.am/hy/acts/228539,primary
AM,2019-05-09,День победы и мира,victory,no,https://www.arlis.am/hy/acts/228539,primary
AM,2019-05-28,День Первой Республики,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2019-07-05,День Конституции,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2019-09-21,День независимости,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2019-12-31,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-01-01,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-01-02,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-01-03,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2020-01-04,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2020-01-05,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2020-01-06,Святое Рождество и Богоявление,religious,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-01-07,День поминовения усопших,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2020-01-28,День армии,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-03-08,Международный женский день,womens,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-04-24,День памяти жертв геноцида армян,other,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-05-01,День труда,labour,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-05-09,День победы и мира,victory,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-05-28,День Первой Республики,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-07-05,День Конституции,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-09-21,День независимости,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2020-12-31,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-01-01,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-01-02,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-01-03,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2021-01-04,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2021-01-05,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2021-01-06,Святое Рождество и Богоявление,religious,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-01-07,День поминовения усопших,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2021-01-28,День армии,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-03-08,Международный женский день,womens,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-04-24,День памяти жертв геноцида армян,other,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-05-01,День труда,labour,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-05-09,День победы и мира,victory,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-05-28,День Первой Республики,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-07-05,День Конституции,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-09-21,День независимости,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2021-12-31,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2022-01-01,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2022-01-02,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2022-01-06,Святое Рождество и Богоявление,religious,no,https://www.arlis.am/hy/acts/228539,primary
