corridor,indicator,split,window,params,feasible,n_feasible,fitted
TJS,seasonality,8,2025-01…2025-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.235}",True,4.0,
TJS,dip_vs_trend,8,2025-01…2025-06,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.2725}",True,7.0,
TJS,ml_localmin,8,2025-01…2025-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0006, ""_fitted"": true, ""_pos_rate_val"": 0.82}",,,True
TJS,momentum,9,2025-07…2025-12,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0111}",True,4.0,
TJS,level,9,2025-07…2025-12,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 41, ""_score"": 1.3905}",True,41.0,
TJS,reversal,9,2025-07…2025-12,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 12, ""_score"": 1.2639}",True,12.0,
TJS,seasonality,9,2025-07…2025-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1115}",True,4.0,
TJS,dip_vs_trend,9,2025-07…2025-12,"{""span"": 80, ""window"": 120, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 9, ""_score"": 1.1832}",True,9.0,
TJS,ml_localmin,9,2025-07…2025-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.002, ""_fitted"": true, ""_pos_rate_val"": 0.6}",,,True
TJS,momentum,10,2026-01…2026-06,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.998}",True,4.0,
