corridor,family,persona,strategy,label,windows,months,benefit_vs_habit_bps,benefit_vs_habit_ci_lo,benefit_vs_habit_ci_hi,benefit_vs_random_bps,benefit_vs_random_ci_lo,benefit_vs_random_ci_hi,oracle_share,share_shifted,benefit_when_shifted_bps,benefit_when_shifted_ci_lo,benefit_when_shifted_ci_hi,regret_share,not_worse_share,mean_day,rub_per_transfer
KGS,accelerate,a10_h15,habit,привычка: первый день окна,66,66,0.0,0.0,0.0,32.48494010650002,2.2312849047818344,65.28559046568512,0.3092485870074728,0.0,,,,0.0,1.0,3.393939393939394,0.0
KGS,accelerate,a10_h15,deadline,ждать до срока,66,66,0.0,0.0,0.0,32.48494010650002,2.2312849047818344,65.28559046568512,0.3092485870074728,0.0,,,,0.0,1.0,3.393939393939394,0.0
KGS,accelerate,a10_h15,random,случайный день окна,66,66,-30.75541307418274,-62.894718292416734,-0.8603267789804159,0.0,0.0,0.0,0.0,,,,,0.45454545454545453,0.5454545454545454,,-92.26623922254822
KGS,accelerate,a10_h15,calendar25,"календарь: первый день с 25-го, иначе срок",66,66,0.0,0.0,0.0,32.48494010650002,2.2312849047818344,65.28559046568512,0.3092485870074728,0.0,,,,0.0,1.0,3.393939393939394,0.0
KGS,accelerate,a10_h15,screen,"экран: первый день с фактом уровня, иначе срок",66,66,-50.87801005838691,-89.24401823929767,-18.190539900918996,-19.40800018708289,-53.6625297984701,16.623280499522465,-0.18475935663785362,0.3787878787878788,-134.31794655414143,-221.81599178934943,-56.366948138100746,0.2727272727272727,0.7272727272727273,2.227272727272727,-152.63403017516072
KGS,accelerate,a10_h15,push,"первый пуш потока, иначе срок",66,66,-25.576939988411535,-51.84502772326765,-2.461203474384919,6.332847510624141,-24.626361757643735,40.274745027925185,0.06028714037870243,0.21212121212121213,-120.57700280251153,-222.5129884503515,-18.365302570843777,0.15151515151515152,0.8484848484848485,2.8333333333333335,-76.73081996523462
KGS,accelerate,a10_h15,push_or_calendar,"первый пуш, иначе календарь, иначе срок",66,66,-25.576939988411535,-51.84502772326765,-2.461203474384919,6.332847510624141,-24.626361757643735,40.274745027925185,0.06028714037870243,0.21212121212121213,-120.57700280251153,-222.5129884503515,-18.365302570843777,0.15151515151515152,0.8484848484848485,2.8333333333333335,-76.73081996523462
KGS,accelerate,a10_h15,oracle,оракул: лучший день окна,66,66,73.29052875963913,47.11799716462456,103.61141938566035,105.04474869505238,81.07489425461891,134.14832822496638,1.0,0.6363636363636364,115.17083090800435,79.21131941398403,156.81427720314068,0.0,1.0,1.9545454545454546,219.8715862789174
KGS,accelerate,a10_h20,habit,привычка: первый день окна,66,66,0.0,0.0,0.0,24.091263749399705,-19.05179140168362,71.85840843183959,0.1501854338505633,0.0,,,,0.0,1.0,6.984848484848484,0.0
KGS,accelerate,a10_h20,deadline,ждать до срока,66,66,0.0,0.0,0.0,24.091263749399705,-19.05179140168362,71.85840843183959,0.1501854338505633,0.0,,,,0.0,1.0,6.984848484848484,0.0
