corridor,asset,anchor_hour,group,n,evening_fact_share,gate_survival_T1,n_scored,hit_mean,benefit_fwd_bps,share_positive,n_scored_evening,hit_mean_evening,benefit_fwd_evening_bps,est_n,est_corr,est_mae_bps,est_sign_share,move_mean_abs_bps
AMD,USD,14,прошли гейт,45,,0.9777777777777777,45,0.6444444444444445,83.79849687346518,0.6,45,0.6222222222222222,96.11574013994974,1395,0.4484311929782017,68.66927270521744,0.6602150537634408,45.71475878999489
AMD,USD,14,сняты гейтом,1,,1.0,1,0.0,-69.51832187652163,0.0,1,0.0,-93.97383202328969,1395,0.4484311929782017,68.66927270521744,0.6602150537634408,45.71475878999489
KGS,USD,14,все пуши,114,,0.9264705882352942,114,0.5175438596491229,21.0216305509765,0.4473684210526316,114,0.5175438596491229,16.789683637096264,1395,0.4102456274285681,68.83134926841258,0.6652329749103942,45.71475878999489
KGS,USD,14,факт на T,68,0.9558823529411765,0.9264705882352942,68,0.5882352941176471,12.731092245771976,0.5,68,0.6029411764705882,12.378506233804284,1395,0.4102456274285681,68.83134926841258,0.6652329749103942,45.71475878999489
KGS,USD,14,прошли гейт,65,,0.9384615384615385,65,0.5692307692307692,-5.603519876328831,0.49230769230769234,65,0.6,5.90240204931764,1395,0.4102456274285681,68.83134926841258,0.6652329749103942,45.71475878999489
KGS,USD,14,сняты гейтом,3,,0.6666666666666666,3,1.0,409.9810215579561,0.6666666666666666,3,0.6666666666666666,152.6940968976816,1395,0.4102456274285681,68.83134926841258,0.6652329749103942,45.71475878999489
KZT,USD,14,все пуши,169,,0.8701298701298701,169,0.5207100591715976,26.523338511066086,0.5029585798816568,169,0.5502958579881657,35.05985573260662,1395,0.4298927349079069,75.53434400608319,0.6272401433691757,45.71475878999489
KZT,USD,14,факт на T,77,0.922077922077922,0.8701298701298701,77,0.4935064935064935,-20.441715920549353,0.4675324675324675,77,0.5194805194805194,0.13542507504787232,1395,0.4298927349079069,75.53434400608319,0.6272401433691757,45.71475878999489
KZT,USD,14,прошли гейт,71,,0.9295774647887324,71,0.4788732394366197,-20.187461266148834,0.4507042253521127,71,0.5070422535211268,6.706438922058181,1395,0.4298927349079069,75.53434400608319,0.6272401433691757,45.71475878999489
KZT,USD,14,сняты гейтом,6,,0.16666666666666666,6,0.6666666666666666,-23.450395997622337,0.6666666666666666,6,0.6666666666666666,-77.62157211457416,1395,0.4298927349079069,75.53434400608319,0.6272401433691757,45.71475878999489
