corridor,source,spread_source,n,n_next,gate_fact_T,gate_fact_T1,gate_survival,own_fact_n,own_fact_T,own_fact_T1,own_survival,n_scored,benefit_fwd_bps,hit_mean,share_positive,benefit_fwd_exec_bps,hit_mean_exec,share_positive_exec,benefit_fwd_at_p90_spread_bps,spread_days,spread_mean_bps,spread_p90_dev_bps
KZT,ml_localmin,KZT,56,56,1.0,0.9642857142857143,0.9642857142857143,56,1.0,0.9642857142857143,0.9642857142857143,56,-49.34887506640447,0.5,0.48214285714285715,-46.011988509894195,0.5152866935045153,0.4882765749102383,-289.13220104402325,1313,91.5753708534269,246.92265505189798
KZT,momentum,CNY,229,229,0.4148471615720524,0.4104803493449782,0.9157894736842105,0,,,,229,-1.5354406228251358,0.5283842794759825,0.47161572052401746,-0.050635614616730586,0.5406507112468842,0.4999094151970063,-74.92215642674624,1398,13.54913703554277,73.94069543891897
KZT,momentum,KZT,229,229,0.4148471615720524,0.4104803493449782,0.9157894736842105,0,,,,229,-1.5354406228251358,0.5283842794759825,0.47161572052401746,1.817479859969171,0.5461242462842186,0.511815004140656,-242.47093887473525,1313,91.5753708534269,246.92265505189798
KZT,seasonality,CNY,32,32,0.34375,0.34375,0.9090909090909091,0,,,,32,28.67464136141878,0.53125,0.53125,30.163932666574315,0.5747049356223176,0.5356089055793991,-44.93381035883468,1398,13.54913703554277,73.94069543891897
KZT,seasonality,KZT,32,32,0.34375,0.34375,0.9090909090909091,0,,,,32,28.67464136141878,0.53125,0.53125,32.03769259999768,0.5724009900990099,0.5376999238385377,-212.98883678299177,1313,91.5753708534269,246.92265505189798
KZT,stream BUY_NOW,CNY,169,169,0.4556213017751479,0.42011834319526625,0.8701298701298701,58,1.0,0.9137931034482759,0.9137931034482759,169,26.523338511066086,0.5207100591715976,0.5029585798816568,28.01231034064339,0.5528100159991873,0.5193979565059129,-47.06932307961808,1398,13.54913703554277,73.94069543891897
KZT,stream BUY_NOW,KZT,169,169,0.4556213017751479,0.42011834319526625,0.8701298701298701,58,1.0,0.9137931034482759,0.9137931034482759,169,26.523338511066086,0.5207100591715976,0.5029585798816568,29.8856683241352,0.5568754872756279,0.5242387233716544,-215.08829915113216,1313,91.5753708534269,246.92265505189798
TJS,dip_vs_trend,CNY,104,104,0.7019230769230769,0.7211538461538461,0.958904109589041,104,1.0,0.9230769230769231,0.9230769230769231,104,-82.9974755103064,0.47115384615384615,0.46153846153846156,-81.52476788331703,0.4714839881148894,0.4462900297127765,-155.78627638763106,1398,13.54913703554277,73.94069543891897
TJS,level,CNY,92,92,0.9239130434782609,0.9239130434782609,0.9647058823529412,92,1.0,0.8913043478260869,0.8913043478260869,92,34.79440558175522,0.5652173913043478,0.5217391304347826,36.28460569210873,0.5793291658891584,0.5342492380419233,-38.85896397512793,1398,13.54913703554277,73.94069543891897
TJS,ml_localmin,CNY,53,53,1.0,0.9433962264150944,0.9433962264150944,53,1.0,0.9433962264150944,0.9433962264150944,53,-14.426393634259808,0.5660377358490566,0.49056603773584906,-12.943502975147535,0.5493967122843955,0.5068426593246417,-87.71849243979341,1398,13.54913703554277,73.94069543891897
TJS,momentum,CNY,218,218,0.38990825688073394,0.4036697247706422,0.9411764705882353,0,,,,218,19.919675086641718,0.5504587155963303,0.5091743119266054,21.407666250391088,0.5567980470134268,0.517705503274665,-53.624516944730104,1398,13.54913703554277,73.94069543891897
TJS,seasonality,CNY,28,28,0.2857142857142857,0.25,0.875,0,,,,28,74.91626245406239,0.5357142857142857,0.5357142857142857,76.41242079266874,0.5650929899856938,0.5408236255875741,0.9684065497680133,1398,13.54913703554277,73.94069543891897
