indicator,corridor,source,transferred,split,window,params,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
reversal,UZS,KZT,True,2,2022-01…2022-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 20, ""rearm"": 3}",20,25.0,9,9,0.5555555555555556,0.38461538461538464,1.4444444444444444,,,0.5555555555555556,0.38461538461538464,1.4444444444444444,-200.26123704652125,-133.26289884507412,-66.99833820144713,,,,,,,188.6559066898527,-102.0578610557738,0.34806629834254144,0.625,0.6478835438717001,116.0,0.6666666666666666
reversal,KGS,KZT,True,2,2022-01…2022-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 20, ""rearm"": 3}",20,25.0,15,15,0.2,0.358974358974359,0.5571428571428572,,,0.2,0.358974358974359,0.5571428571428572,-626.9392541706161,-134.33666686632213,-492.60258730429393,,,,,,,-93.66374496630308,-317.53175390928965,0.580110497237569,0.7857142857142857,0.4701862563915892,91.0,0.5
reversal,AMD,KZT,True,2,2022-01…2022-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 20, ""rearm"": 3}",20,25.0,8,8,0.5,0.4358974358974359,1.1470588235294117,,,0.5,0.4358974358974359,1.1470588235294117,-118.58401532937768,-7.685668238494408,-110.89834709088328,,,,,,,68.01681061563926,-246.86500402429618,0.30939226519337015,0.8571428571428571,0.6757213083539801,121.0,0.6666666666666666
reversal,KZT,KZT,False,2,2022-01…2022-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 20, ""rearm"": 3}",20,25.0,11,11,0.09090909090909091,0.3162393162393162,0.2874692874692875,,,0.09090909090909091,0.3162393162393162,0.2874692874692875,-730.1529856999052,-253.47141149360772,-476.6815742062975,,,,,,,-15.346031762821275,-289.46478940791627,0.42541436464088395,0.6,0.6761152803751636,91.0,0.5
seasonality,TJS,KZT,True,2,2022-01…2022-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20}",20,25.0,5,5,0.0,0.1452991452991453,0.0,,,0.4,0.4700854700854701,0.850909090909091,-16.546863531532246,-53.00503542290707,36.458171891374825,,,,,,,174.8118902909308,171.31085685920795,0.19337016574585636,0.0,0.3069112910293829,60.0,0.16666666666666666
seasonality,UZS,KZT,True,2,2022-01…2022-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20}",20,25.0,5,5,0.0,0.1111111111111111,0.0,,,0.4,0.41025641025641024,0.9750000000000001,-36.52846765269044,-133.26289884507412,96.73443119238368,,,,,,,147.37921883005203,236.91749587712656,0.19337016574585636,0.0,0.3069112910293829,60.0,0.16666666666666666
seasonality,KGS,KZT,True,2,2022-01…2022-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20}",20,25.0,5,5,0.0,0.10256410256410256,0.0,,,0.4,0.39316239316239315,1.0173913043478262,-80.7501353612474,-134.33666686632213,53.58653150507473,,,,,,,77.25543386304976,226.84441736883687,0.19337016574585636,0.0,0.3069112910293829,60.0,0.16666666666666666
seasonality,AMD,KZT,True,2,2022-01…2022-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20}",20,25.0,5,5,0.0,0.10256410256410256,0.0,,,0.4,0.42735042735042733,0.936,-17.489047647645428,-7.685668238494408,-9.80337940915102,,,,,,,29.339653965842807,242.15461054811894,0.19337016574585636,0.0,0.3069112910293829,60.0,0.16666666666666666
seasonality,KZT,KZT,False,2,2022-01…2022-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20}",20,25.0,4,4,0.0,0.1111111111111111,0.0,,,0.75,0.38461538461538464,1.95,209.27452667254954,-253.47141149360772,462.74593816615726,,,,,,,328.1230766666912,429.5318424074551,0.15469613259668508,0.0,0.25071984024596905,60.0,0.3333333333333333
dip_vs_trend,TJS,KZT,True,2,2022-01…2022-06,"{""span"": 80, ""window"": 250, ""pct"": 0.15, ""rearm"": 3}",20,25.0,21,21,0.047619047619047616,0.1452991452991453,0.32773109243697474,,,0.38095238095238093,0.4700854700854701,0.8103896103896103,-308.22517246999627,-53.00503542290707,-255.2201370470892,,,,,,,363.6008672356559,-236.4262442657635,0.8121546961325967,1.0,0.0,78.0,0.3333333333333333
