indicator,k,scope,country,corridor,split,window,scenario,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
holiday:k5:all,5,all,KG,KGS,10,2026-01…2026-06,BUY_NOW,20,25.0,20,20,0.3,0.23931623931623933,1.2535714285714286,,,0.55,0.5384615384615384,1.0214285714285716,9.651649121555467,5.753419433060342,3.8982296884951246,,,,,,,5.376931238665451,55.24963447938192,0.7734806629834254,0.8421052631578947,1.9524672643989054,49.0,0.5
holiday:k1:major,1,major,KG,KGS,0,2021-01…2021-06,BUY_NOW,20,25.0,2,2,0.5,0.1440677966101695,3.4705882352941178,,,1.0,0.5,2.0,139.17329814810418,-8.151508733265231,147.3248068813694,,,,,,,108.73963709403967,113.48657128081751,0.07734806629834254,0.0,0.0,67.0,0.6666666666666666
holiday:k1:major,1,major,KG,KGS,1,2021-07…2021-12,BUY_NOW,20,25.0,3,3,0.3333333333333333,0.16279069767441862,2.0476190476190474,,,0.3333333333333333,0.5348837209302325,0.6231884057971014,41.67595933423715,25.66914672872073,16.00681260551642,,,,,,,-11.948598694102955,45.046538888638594,0.1141304347826087,0.0,0.4827586206896552,122.0,0.5
holiday:k1:major,1,major,KG,KGS,2,2022-01…2022-06,BUY_NOW,20,25.0,2,2,0.0,0.10256410256410256,0.0,,,0.0,0.39316239316239315,0.0,-836.2271142268402,-134.33666686632213,-701.890447360518,,,,,,,-149.26838626870497,-621.6561441378853,0.07734806629834254,0.0,0.0,67.0,0.6666666666666666
holiday:k1:major,1,major,KG,KGS,3,2022-07…2022-12,BUY_NOW,20,25.0,3,3,0.0,0.2846153846153846,0.0,,,0.0,0.5769230769230769,0.0,-201.14219144787467,92.68431984896502,-293.82651129683967,,,,,,,-304.64279264842634,-240.39259480221267,0.1141304347826087,0.0,0.4032258064516129,122.0,0.5
holiday:k1:major,1,major,KG,KGS,4,2023-01…2023-06,BUY_NOW,20,25.0,3,3,0.3333333333333333,0.5508474576271186,0.6051282051282051,,,0.6666666666666666,0.8389830508474576,0.7946127946127945,182.03175072277054,231.7318649254994,-49.700114202728855,,,,,,,-41.52062456993659,139.76262709109605,0.11602209944751381,0.0,0.31343283582089554,70.0,0.5
holiday:k1:major,1,major,KG,KGS,5,2023-07…2023-12,BUY_NOW,20,25.0,2,2,0.0,0.20155038759689922,0.0,,,0.5,0.5271317829457365,0.9485294117647058,-31.114521818552124,-26.704775666556326,-4.4097461519957974,,,,,,,15.229563414747016,-26.06431024121615,0.07608695652173914,0.0,0.0,121.0,0.6666666666666666
holiday:k1:major,1,major,KG,KGS,6,2024-01…2024-06,BUY_NOW,20,25.0,3,3,0.0,0.23931623931623933,0.0,,,0.6666666666666666,0.5726495726495726,1.164179104477612,10.875711607601183,31.12319280205631,-20.247481194455126,,,,,,,-16.176043678758358,45.21885280170317,0.11538461538461539,0.0,0.5087719298245614,71.0,0.5
holiday:k1:major,1,major,KG,KGS,7,2024-07…2024-12,BUY_NOW,20,25.0,2,2,0.0,0.3282442748091603,0.0,,,0.5,0.7557251908396947,0.6616161616161615,-66.25348923761209,99.54663906237663,-165.80012829998873,,,,,,,-74.66662485506315,-3.4890029616840863,0.07608695652173914,0.0,0.0,120.0,0.6666666666666666
holiday:k1:major,1,major,KG,KGS,8,2025-01…2025-06,BUY_NOW,20,25.0,3,3,0.0,0.02564102564102564,0.0,,,0.0,0.15384615384615385,0.0,-95.07733955289217,-221.43511533665657,126.3577757837644,,,,,,,30.752289863345734,-61.599250137148736,0.11602209944751381,0.0,0.7647058823529411,70.0,0.6666666666666666
holiday:k1:major,1,major,KG,KGS,9,2025-07…2025-12,BUY_NOW,20,25.0,2,2,0.5,0.2076923076923077,2.4074074074074074,,,0.5,0.5230769230769231,0.9558823529411764,90.09896881514602,-6.366992636140395,96.46596145128642,,,,,,,43.590974248376995,45.79190127765309,0.07608695652173914,0.0,0.0,123.0,0.6666666666666666
holiday:k1:major,1,major,KG,KGS,10,2026-01…2026-06,BUY_NOW,20,25.0,2,2,0.0,0.23931623931623933,0.0,,,0.5,0.5384615384615384,0.9285714285714286,-246.5977686817278,5.753419433060342,-252.35118811478816,,,,,,,-248.30741131597836,-97.41688423439143,0.07734806629834254,0.0,0.0,68.0,0.6666666666666666
holiday:k3:major,3,major,KG,KGS,0,2021-01…2021-06,BUY_NOW,20,25.0,6,6,0.5,0.1440677966101695,3.4705882352941178,,,1.0,0.5,2.0,169.12566783175356,-8.151508733265231,177.2771765650188,,,,,,,143.9460848508567,159.29437462050478,0.23204419889502761,0.8,1.7368421052631577,65.0,0.6666666666666666
holiday:k3:major,3,major,KG,KGS,1,2021-07…2021-12,BUY_NOW,20,25.0,9,9,0.3333333333333333,0.16279069767441862,2.0476190476190474,,,0.3333333333333333,0.5348837209302325,0.6231884057971014,54.908733448044586,25.66914672872073,29.239586719323857,,,,,,,-1.0983151188645779,1.8464800112924802,0.3423913043478261,0.75,1.872938874797407,120.0,0.5
holiday:k3:major,3,major,KG,KGS,2,2022-01…2022-06,BUY_NOW,20,25.0,6,6,0.0,0.10256410256410256,0.0,,,0.0,0.39316239316239315,0.0,-857.5603423051044,-134.33666686632213,-723.2236754387823,,,,,,,-203.75070795551028,-457.9123005328829,0.23204419889502761,0.8,1.6875,65.0,0.6666666666666666
