corridor,day_of_month,n_days,n_days_detrended,dev_from_month_mean_bps,ci_lo,ci_hi,dev_detrended_bps,detrended_ci_lo,detrended_ci_hi,in_tax_window
UZS,27,48,48,-32.18376435587573,-105.29457993882363,44.74960009813372,14.610524591037434,-28.257071492174042,66.88362101569797,True
UZS,28,47,47,-12.459811453835295,-124.46407030760822,120.8204813005782,51.844249181453044,-1.319337583305718,121.13188639839574,True
UZS,29,44,44,-32.20731430463117,-158.62662517677882,86.56227176183305,14.482135045906743,-41.67182696542738,64.35691691296111,False
UZS,30,40,40,-33.506968396874925,-153.47247724962037,86.01200574505086,21.29425247001278,-32.13068291331199,81.46563254175581,False
UZS,31,23,23,-73.14362713033562,-275.4192645883815,60.18744186695433,31.348121909793996,-48.50938163941527,102.31000650306413,False
KGS,1,41,41,-24.40173943768747,-111.52222281624094,65.32888913453272,-28.766463669356003,-103.13231407598958,39.30662022394694,False
KGS,2,42,42,-8.00463765110092,-84.92952240149023,78.71545111003,0.6315126146780149,-52.11482457798263,49.396805620623574,False
KGS,3,40,40,58.58628828252142,-40.16067701870407,162.06432016120272,4.160151009760604,-38.973471195603565,44.86449567743955,False
KGS,4,39,39,44.558298369546144,-36.53025205610607,134.739869752628,-14.207787683841548,-62.54993615276089,36.03612408675608,False
KGS,5,43,43,23.862569098349198,-46.46247863178328,98.42769481424614,-5.849094809812842,-41.62966627200502,29.087561427029836,False
KGS,6,41,41,73.6998245902522,-13.949769377000234,167.01806544476224,30.34420550142782,-22.959237577198163,91.98317550455404,False
KGS,7,41,41,57.85461921111888,-23.967898643284936,138.80876308025353,29.189097156589906,-41.19632424931673,82.94854210623468,False
KGS,8,38,38,-26.095245578784922,-123.84286081473299,56.244255560008426,-21.143405611853495,-108.17485738513717,35.19446698789997,False
KGS,9,41,41,35.68062008946581,-46.19512707291836,131.33467728345332,19.04611486084119,-28.448360429321678,69.6145458354418,False
KGS,10,44,44,63.945547413059195,-17.855259292931535,164.96196692911693,38.28490726508321,-18.433469191578144,108.29949766956183,False
KGS,11,46,46,55.6053129121242,-21.220666203460617,145.85911988762325,43.74286923444727,-12.59758174274031,106.8603012646037,False
KGS,12,44,44,2.1285256060523987,-45.05549922504818,47.50192186382515,-4.404954203430301,-34.945986167550934,27.700241017272404,False
KGS,13,45,45,9.274270125828629,-31.806930899305218,47.20114521357238,-7.896179435946285,-43.332710540808144,27.016741630592943,False
KGS,14,45,45,19.941452004183326,-36.56367670528301,84.50521528125711,-1.5245994679711985,-49.06707262957262,55.95701662269551,False
KGS,15,48,48,-7.696410942906669,-49.8248133508844,37.94403331894686,-19.742900384188697,-58.31258307266173,22.69290257145256,False
KGS,16,47,47,-21.11131342309777,-54.684318468213455,11.956035421806703,-34.38920101841708,-72.08394515877214,0.258719854853005,False
KGS,17,47,47,-14.198895662313435,-49.194393458266966,20.979606083306304,-16.89913971990375,-56.2572517052848,18.47816972596895,False
KGS,18,47,47,-21.138658754710267,-69.28916731551931,30.009459119051993,-20.238999376940257,-70.04890380475678,32.481736095245395,False
KGS,19,48,48,10.541799496750658,-39.539814843868385,59.44345705320379,8.548239918026837,-40.09251294623375,57.129612050645584,False
KGS,20,48,48,-12.300026366123726,-64.24090024446606,32.92309531732459,-0.1262760533713513,-41.844305163172514,36.79210099887911,True
KGS,21,46,46,-27.815299159813367,-77.03279936484695,21.519336483685223,-13.373241330326145,-54.79733096028611,28.141371849292007,True
KGS,22,47,47,4.0295465881994526,-43.299814702877825,60.685221451356064,0.3216038602314847,-29.961895897084887,36.30601565541269,True
KGS,23,42,42,-36.08797048872274,-96.11128248812639,20.985902823408722,-17.92126238809256,-51.06660863410103,13.03994988341144,True
KGS,24,46,46,-50.43312022661224,-126.77423222317825,29.945317170891656,-12.183088168870182,-54.91891101177336,30.37323853041489,True
KGS,25,47,47,-50.17501574797726,-124.5007821861458,19.953088300001575,-31.554956226267098,-66.64161474925633,-1.4957240904639726,True
KGS,26,48,48,-0.16387084728559861,-65.16381913449844,61.133563729482205,-1.4486801732387782,-33.70248239821365,31.061300093079012,True
KGS,27,48,48,-33.97512914944544,-106.86174100426508,39.76648772208528,10.039066203154892,-31.409935429662465,61.35180271743708,True
KGS,28,47,47,-10.015127130917202,-112.2392265302436,112.99410331612272,46.80965835892223,-4.582093792187805,114.18345600445265,True
KGS,29,44,44,-24.473734413787383,-131.15376996622433,80.81264243934973,9.436991381922992,-29.37209420102087,48.539004066967934,False
KGS,30,40,40,-36.03912136712944,-146.82897173919127,70.94748772703748,8.223224096309176,-34.30892033019477,53.40022979580606,False
KGS,31,23,23,-60.73079481111566,-239.328583630776,59.74079895329021,10.423534032474475,-47.155318368860726,64.48650373042396,False
AMD,1,41,41,-96.18657464810038,-188.45750287613455,-8.04054452636079,-63.104996846990005,-177.6552832926223,24.57178754614556,False
AMD,2,42,42,-36.775652678611536,-109.21991895734962,38.60182777693097,4.999290381019625,-44.34360949479059,53.00088439589826,False
AMD,3,40,40,22.93086985541976,-73.29479610785884,114.99181426376528,0.8903204576261586,-44.016470200350824,42.64370180529882,False
AMD,4,39,39,5.431062810965645,-80.27818044299569,103.38646129329328,-33.57239813735752,-94.62970309258552,30.787094053243052,False
AMD,5,43,43,-7.233829625707247,-79.5921537676799,71.97750823823148,-20.57652522165761,-57.61901478942282,15.156950203007279,False
AMD,6,41,41,36.660705638309665,-47.413636035036774,123.4712512644626,21.04751940579649,-26.69249957339926,77.08017987044217,False
AMD,7,41,41,49.30067089496295,-26.958756244270155,125.33403801063709,48.45090274865069,-0.7488521405306114,103.47958099144084,False
AMD,8,38,38,-6.418050183404115,-74.99779536838889,60.52817545909574,10.65639957579562,-41.90977450794242,57.38027844424111,False
AMD,9,41,41,23.03903041976956,-49.647041506463395,98.56087174337549,24.674331758749865,-19.237060372514918,67.30397591308706,False
AMD,10,44,44,47.533405193101046,-23.596988563732573,126.83899079953994,36.58793610648781,-13.44891797012183,93.2445622333964,False
AMD,11,46,46,50.8884191541908,-17.614585394005616,123.35882643418805,50.69391458529294,-1.5614912706016284,106.15356311532395,False
AMD,12,44,44,7.164302355656679,-43.79623199125655,56.22054583529916,11.25812683929614,-23.501712672112056,49.237304341052,False
AMD,13,45,45,17.551617456311536,-30.145472476616163,60.757320273695804,9.021361514814345,-29.40608154651117,47.015333841587655,False
AMD,14,45,45,24.61071972286624,-30.4210658491208,85.36917501580591,12.700333985072115,-32.877010419245515,63.36506497401627,False
AMD,15,48,48,-8.930071426301987,-54.63120504114613,43.034283271691656,-16.39010028105309,-56.250331629800904,30.218446825669385,False
AMD,16,47,47,-5.832738233474145,-46.91022439519239,40.23307059863086,-18.919665377752512,-61.66745589744629,25.426627471687084,False
AMD,17,47,47,7.517132984203515,-27.06063760229519,43.20450022016676,1.432538253836958,-35.403324341983414,38.98158353996631,False
AMD,18,47,47,-26.077217367534335,-68.36791476200447,13.426844944627298,-26.487178898557723,-72.98680071854255,18.030609068145854,False
AMD,19,48,48,-12.792645571560273,-64.61056295614988,36.33168496740496,-13.934113256282238,-62.77457187576576,31.772455761329482,False
AMD,20,48,48,-19.7064958938026,-86.23498114050716,35.4020488889324,-15.939241901621793,-72.78387115337975,28.16239872346182,True
AMD,21,46,46,-16.048695842694798,-68.51103407530995,39.59219000185648,-19.054055967805024,-65.89126323578849,28.61435731929936,True
AMD,22,47,47,15.837228236433742,-37.83950372863996,77.50438670701489,-4.979848113352207,-42.75492818198459,39.83392262408354,True
AMD,23,42,42,-23.850848029572223,-85.46711547992189,33.99063205383692,-23.803684958777964,-68.53673092942613,20.809485924395684,True
AMD,24,46,46,-44.22685558407435,-121.3805736948821,34.384314480955354,-22.843701591191437,-72.10005710519889,23.203473723570294,True
AMD,25,47,47,-41.9653627020991,-119.34106001699426,29.5294323902344,-38.046145244118065,-77.19519340276929,-4.251491399310412,True
AMD,26,48,48,8.360565584358433,-49.19216641666227,66.73679054477972,-0.3420933884806499,-27.897810290707586,28.094701978000188,True
AMD,27,48,48,3.5567552355902214,-69.7698654493262,76.95712454345181,19.060094417739176,-23.588628944853795,72.54135383506758,True
AMD,28,47,47,42.775495374560094,-57.00970659100902,168.45116502570662,54.74018280556381,1.2915278461890338,123.20487181004432,True
AMD,29,44,44,7.853802987501457,-95.8229249461008,111.20043345716904,6.29670104628703,-49.755814134632075,56.34250291109853,False
AMD,30,40,40,2.3095413475592297,-109.10075571481809,108.57925532588602,8.193483307549489,-56.67865204046304,70.75743347826695,False
AMD,31,23,23,-47.07380191463547,-231.89781290543596,78.11797391216692,0.6891940983185484,-95.93308972757568,79.98700195943867,False
KZT,1,41,41,-46.96881935962196,-154.47949518347826,69.97481081109706,-80.909651286482,-190.1499333805908,2.40965077851476,False
KZT,2,42,42,-3.6751815861324366,-95.25591394132714,104.62026484514955,-12.388261325279137,-56.406187060358576,34.34880240436754,False
KZT,3,40,40,48.981537929010386,-56.89797565609749,156.91576948602955,-22.20445067348917,-73.0899142753423,20.08251604772037,False
KZT,4,39,39,39.86132264761515,-38.649740668488235,123.39769035517747,-44.73348322196432,-92.17315593739328,1.7263011842164324,False
KZT,5,43,43,10.325453477987562,-58.721932210031625,82.80182771352776,-25.451458079301457,-58.815534503752275,5.387802034172741,False
KZT,6,41,41,97.71319839780517,-4.535586425905683,203.39644828067293,41.480304558121304,-15.426399492019353,104.00689680556037,False
KZT,7,41,41,116.56121017182336,28.59219876526627,212.03763861089215,62.43362250849144,6.458798065186189,122.90780676509394,False
KZT,8,38,38,33.30294018390563,-45.5195259688922,114.29115436967032,13.750917222396975,-37.373434012272575,56.31881200201973,False
KZT,9,41,41,57.56371447404741,-18.442487190474385,141.0146353427337,38.558638128866015,-5.7781710240406445,90.75631907727276,False
KZT,10,44,44,64.30537135158275,-4.1185998950129274,144.7094356506299,41.005977798569134,-7.461890992057468,95.94568715112884,False
