indicator,rule,mode,corridor,split,window,scenario,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
calendar:day25:first,day25,first,UZS,6,2024-01…2024-06,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.15384615384615385,1.0833333333333333,,,0.5,0.5128205128205128,0.9750000000000001,-5.675272293573784,-20.683669886704273,15.00839759313049,,,,,,,31.975868003061663,17.63182622237014,0.23076923076923078,0.0,0.08517153729745175,32.0,0.0
calendar:day25:first,day25,first,UZS,7,2024-07…2024-12,BUY_NOW,20,25.0,6,6,0.5,0.31297709923664124,1.597560975609756,,,0.8333333333333334,0.6641221374045801,1.2547892720306515,130.66531559852862,93.66515844300025,37.00015715552837,,,,,,,45.233298954616146,138.08599553729445,0.2282608695652174,0.0,0.018348623853211007,32.0,0.0
calendar:day25:first,day25,first,UZS,8,2025-01…2025-06,BUY_NOW,20,25.0,6,6,0.0,0.042735042735042736,0.0,,,0.16666666666666666,0.24786324786324787,0.6724137931034482,-120.09023997929785,-198.85952062411175,78.7692806448139,,,,,,,83.27382320955792,63.15787417289962,0.23204419889502761,0.0,0.0959936605428976,31.0,0.0
calendar:day25:first,day25,first,UZS,9,2025-07…2025-12,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.2,0.8333333333333333,,,0.5,0.5384615384615384,0.9285714285714286,54.532313600174085,31.661039927311496,22.87127367286259,,,,,,,30.460877667205143,14.63389077944207,0.2282608695652174,0.0,0.04721314364437764,32.0,0.0
calendar:day25:first,day25,first,UZS,10,2026-01…2026-06,BUY_NOW,20,25.0,6,6,0.3333333333333333,0.2564102564102564,1.3,,,0.6666666666666666,0.5470085470085471,1.2187499999999998,55.9222656240734,10.996849225985803,44.92541639808759,,,,,,,59.13789168433954,122.74416394071231,0.23204419889502761,0.0,0.09003513102423014,33.0,0.0
calendar:day25:all,day25,all,UZS,0,2021-01…2021-06,BUY_NOW,20,25.0,26,26,0.15384615384615385,0.13559322033898305,1.1346153846153846,,,0.4230769230769231,0.5169491525423728,0.8184110970996218,-24.393446672763467,-12.978020395404887,-11.41542627735858,,,,,,,-6.592921456692024,50.02771122127675,1.005524861878453,0.8,1.5378305175384404,27.0,0.0
calendar:day25:all,day25,all,UZS,1,2021-07…2021-12,BUY_NOW,20,25.0,27,27,0.2962962962962963,0.14728682170542637,2.0116959064327484,,,0.4444444444444444,0.5116279069767442,0.8686868686868686,31.813766108750677,10.345720517709584,21.468045591041093,,,,,,,21.408813589804296,-4.48778133146851,1.0271739130434783,0.8076923076923077,1.5720398045166741,27.0,0.0
calendar:day25:all,day25,all,UZS,2,2022-01…2022-06,BUY_NOW,20,25.0,26,26,0.11538461538461539,0.1111111111111111,1.0384615384615385,,,0.34615384615384615,0.41025641025641024,0.84375,-264.4882234969748,-133.26289884507412,-131.22532465190068,,,,,,,183.14707895139085,36.68409414079166,1.005524861878453,0.8,1.532712089469627,27.0,0.0
calendar:day25:all,day25,all,UZS,3,2022-07…2022-12,BUY_NOW,20,25.0,29,29,0.2413793103448276,0.25384615384615383,0.9508881922675027,,,0.5517241379310345,0.5307692307692308,1.039480259870065,139.84771108721338,116.21310466761958,23.63460641959381,,,,,,,22.926219977893403,83.74749783864115,1.1032608695652175,0.8214285714285714,1.6146744636674308,27.0,0.0
calendar:day25:all,day25,all,UZS,4,2023-01…2023-06,BUY_NOW,20,25.0,26,26,0.7307692307692307,0.5,1.4615384615384615,,,0.8461538461538461,0.8389830508474576,1.0085470085470085,276.48006056468245,230.9240759258275,45.55598463885494,,,,,,,60.86218578214644,147.99452962511216,1.005524861878453,0.8,1.5252968931473303,27.0,0.0
