corridor,indicator,split,window,params,feasible,n_feasible,fitted
CNY,level,6,2024-01…2024-06,"{""window"": 2250, ""pct"": 0.15, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 54, ""_score"": 1.2738}",True,54,
CNY,reversal,6,2024-01…2024-06,"{""window"": 1080, ""rise_bps"": 30, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 18, ""_score"": 1.1918}",True,18,
CNY,dip_vs_trend,6,2024-01…2024-06,"{""span"": 360, ""window"": 1080, ""pct"": 0.05, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 31, ""_score"": 1.0396}",True,31,
CNY,momentum,7,2024-07…2024-12,"{""n"": 3, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.0111}",True,7,
CNY,level,7,2024-07…2024-12,"{""window"": 2250, ""pct"": 0.15, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 54, ""_score"": 1.2738}",True,54,
CNY,reversal,7,2024-07…2024-12,"{""window"": 1080, ""rise_bps"": 30, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 18, ""_score"": 1.3577}",True,18,
CNY,dip_vs_trend,7,2024-07…2024-12,"{""span"": 360, ""window"": 2250, ""pct"": 0.2, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 31, ""_score"": 1.0848}",True,31,
CNY,momentum,8,2025-01…2025-06,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.0002}",True,7,
CNY,level,8,2025-01…2025-06,"{""window"": 2250, ""pct"": 0.15, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 55, ""_score"": 1.2028}",True,55,
CNY,reversal,8,2025-01…2025-06,"{""window"": 1080, ""rise_bps"": 30, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 17, ""_score"": 1.0911}",True,17,
CNY,dip_vs_trend,8,2025-01…2025-06,"{""span"": 360, ""window"": 2250, ""pct"": 0.1, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 30, ""_score"": 0.9918}",True,30,
CNY,momentum,9,2025-07…2025-12,"{""n"": 3, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.0028}",True,7,
CNY,level,9,2025-07…2025-12,"{""window"": 2250, ""pct"": 0.15, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 58, ""_score"": 1.2738}",True,58,
CNY,reversal,9,2025-07…2025-12,"{""window"": 540, ""rise_bps"": 20, ""max_days_since_min"": 45, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 20, ""_score"": 1.1359}",True,20,
CNY,dip_vs_trend,9,2025-07…2025-12,"{""span"": 360, ""window"": 2250, ""pct"": 0.15, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 31, ""_score"": 1.2682}",True,31,
CNY,momentum,10,2026-01…2026-06,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.0015}",True,7,
CNY,level,10,2026-01…2026-06,"{""window"": 2250, ""pct"": 0.05, ""stall_days"": 0, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 59, ""_score"": 1.2256}",True,59,
CNY,reversal,10,2026-01…2026-06,"{""window"": 540, ""rise_bps"": 50, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 1.0603}",True,19,
CNY,dip_vs_trend,10,2026-01…2026-06,"{""span"": 180, ""window"": 2250, ""pct"": 0.15, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 30, ""_score"": 0.9705}",True,30,
